T,EC,VWC,Emisi
26.95,0.02,0.313275,4.166666667
26.7,0.02,0.312975,4.14
26.525,0.02,0.31245,4.233333333
26.4,0.02,0.311375,4.166666667
26.275,0.02,0.31095,4.173333333
26.125,0.02,0.31125,4.256666667
25.975,0.02,0.311175,4.086666667
25.775,0.02,0.31075,3.996666667
25.725,0.02,0.310075,4.036666667
26.05,0.02,0.3108,4.203333333
26.775,0.02,0.3126,4.466666667
28.4,0.02,0.31615,4.756666667
31,0.02,0.319125,5.14
32.6,0.02,0.318225,5.25
32.1,0.02,0.313175,5.05
31.55,0.02,0.308575,4.786666667
31.925,0.02,0.3091,4.68
32.1,0.02,0.3071,4.273333333
31.6,0.02,0.3044,4.306666667
30.8,0.02,0.3002,4.266666667
30,0.02,0.2969,4.09
29.25,0.02,0.295825,4.04
28.675,0.02,0.29385,4.153333333
28.175,0.02,0.292125,4.163333333
27.75,0.02,0.291975,4.066666667
